ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
7990,102-NG-T01,Pre-PQ Process,SCMS-344,ASN-207,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,15-Mar-07,05-Mar-07,05-Mar-07,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,N/A,Test kit,20,2496,67392,27,1.35,Chembio Diagnostics Sys. Inc.,Yes,702,4474.15,
7991,102-NG-T01,Pre-PQ Process,SCMS-344,ASN-280,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,15-Mar-07,15-Mar-07,15-Mar-07,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,N/A,Test kit,20,5004,135108,27,1.35,Chembio Diagnostics Sys. Inc.,Yes,1531,11731.15,
8005,102-GY-T01,Pre-PQ Process,SCMS-433,ASN-281,Guyana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,03/01/2007,27-Mar-07,27-Mar-07,27-Mar-07,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,N/A,Test kit,20,50,1350,27,1.35,Chembio Diagnostics Sys. Inc.,Yes,18,378.6,
8017,100-HT-T01,Pre-PQ Process,SCMS-539,ASN-364,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,04/04/2007,03-May-07,03-May-07,03-May-07,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,1000,80000,80,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,343,2802.42,
8023,102-NG-T01,Pre-PQ Process,SCMS-587,ASN-417,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/30/07,31-May-07,31-May-07,31-May-07,HRDT,HIV test,Abbott GmbH & Co. KG,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,2500,200000,80,0.8,ABBVIE GmbH & Co.KG Wiesbaden,Yes,851,5469.91,
8038,108-VN-T01,Pre-PQ Process,SCMS-753,ASN-781,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,07/04/2007,15-Oct-07,15-Oct-07,15-Oct-07,ARV,Pediatric,Aurobindo Pharma Limited,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,500,950,1.9,0.01,"Aurobindo Unit III, India",No,See ASN-781 (ID#:115),See ASN-781 (ID#:115),1.52
8061,109-TZ-T01,Pre-PQ Process,SCMS-10250,ASN-682,Tanzania,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,25-Oct-07,25-Oct-07,25-Oct-07,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,N/A,Test kit,25,10000,200000,20,0.8,"Standard Diagnostics, Korea",Yes,3336,28837.28,320
8062,109-TZ-T01,Pre-PQ Process,SCMS-10330,ASN-1932,Tanzania,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/14/08,22-Jul-08,22-Jul-08,22-Jul-08,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,N/A,Test kit,25,10000,200000,20,0.8,"Standard Diagnostics, Korea",Yes,3122,22691.75,320
8100,113-ZW-T01,Pre-PQ Process,SCMS-11690,ASN-871,Zimbabwe,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,9/28/07,10-Jan-08,10-Jan-08,10-Jan-08,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,N/A,Test kit,100,5,1750,350,3.5,"Pacific Biotech, Thailand",Yes,Weight Captured Separately,Freight Included in Commodity Cost,2.8
8185,116-ZA-T01,Pre-PQ Process,SCMS-14050,ASN-1251,South Africa,PMO - US,Direct Drop,DDP,N/A,Pre-PQ Process,11/12/2007,29-Jan-08,29-Jan-08,29-Jan-08,ARV,Pediatric,"JSI R&T INSTITUTE, INC.","Efavirenz 200mg [Stocrin/Sustiva], capsule, 90 Caps",Efavirenz,Stocrin/Sustiva,200mg,Capsule,90,60,2112,35.2,0.39,"MSD Midrand, J'burg, SA",No,Weight Captured Separately,Freight Included in Commodity Cost,3.38
8186,116-ZA-T01,Pre-PQ Process,SCMS-14050,ASN-1251,South Africa,PMO - US,Direct Drop,DDP,N/A,Pre-PQ Process,11/12/2007,29-Jan-08,29-Jan-08,29-Jan-08,ARV,Adult,"JSI R&T INSTITUTE, INC.","Lamivudine 150mg [Epivir], tablets, 60 Tabs",Lamivudine,Epivir,150mg,Tablet,60,1500,9600,6.4,0.11,GSK Cape Town Factory (South Africa),No,Weight Captured Separately,Freight Included in Commodity Cost,15.36
8192,107-RW-T01,Pre-PQ Process,SCMS-14220,ASN-1305,Rwanda,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,11/21/07,28-Apr-08,11-Mar-08,11-Mar-08,ARV,Adult,CIPLA LIMITED,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,100000,700000,7,0.12,"Cipla, Goa, India",Yes,10303,35034.75,1120
8204,102-BW-T01,Pre-PQ Process,SCMS-14600,ASN-1154,Botswana,PMO - US,Direct Drop,CIF,Air,Pre-PQ Process,11/27/07,27-Dec-07,27-Dec-07,27-Dec-07,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,N/A,Test kit,100,5,1750,350,3.5,"Pacific Biotech, Thailand",Yes,Weight Captured Separately,Freight Included in Commodity Cost,2.8
8207,107-RW-T01,Pre-PQ Process,SCMS-14730,ASN-1066,Rwanda,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,12/03/2007,03-Jan-08,03-Jan-08,03-Jan-08,ARV,Adult,Aurobindo Pharma Limited,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,32510,381992.5,11.75,0.39,"Aurobindo Unit III, India",Yes,2791,28336.18,611.19
8209,100-KZ-T01,Pre-PQ Process,SCMS-14780,ASN-1139,Kazakhstan,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,11/30/07,23-Jan-08,23-Jan-08,23-Jan-08,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,N/A,Test kit,100,50,17500,350,3.5,"Pacific Biotech, Thailand",Yes,Weight Captured Separately,Freight Included in Commodity Cost,28
8213,102-NG-T01,Pre-PQ Process,SCMS-15060,ASN-1366,Nigeria,PMO - US,Direct Drop,DDP,N/A,Pre-PQ Process,12/20/07,24-Jan-08,24-Jan-08,24-Jan-08,HRDT,HIV test,BUNDI INTERNATIONAL DIAGNOSTICS LTD,"HIV 1/2, Bundi Rapid HIV Kit, 25 Tests","HIV 1/2, Bundi Rapid HIV Kit",Bundi,N/A,Test kit,1,600,22500,37.5,37.5,Not Applicable,Yes,Weight Captured Separately,Freight Included in Commodity Cost,36
8218,109-TZ-T01,Pre-PQ Process,SCMS-15220,ASN-1696,Tanzania,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,12/10/2007,08-May-08,08-May-08,08-May-08,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",Didanosine,Videx,2g,Powder for oral solution,200,712,8964.08,12.59,0.06,"BMS Meymac, France",Yes,Weight Captured Separately,Freight Included in Commodity Cost,14.34
8231,100-HT-T01,Pre-PQ Process,SCMS-15470,ASN-2759,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,01/05/2008,11-Nov-08,11-Nov-08,11-Nov-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit",Capillus,N/A,Test kit,100,2,278,139,1.39,"Trinity Biotech, Plc",Yes,4,523.12,0.54
8232,106-HT-T01,Pre-PQ Process,SCMS-15510,ASN-1273,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,11-Feb-08,11-Feb-08,11-Feb-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit",Capillus,N/A,Test kit,100,125,17375,139,1.39,"Trinity Biotech, Plc",Yes,92,1425.77,27.8
8258,116-ZA-T01,Pre-PQ Process,SCMS-16600,ASN-1520,South Africa,PMO - US,Direct Drop,DDP,N/A,Pre-PQ Process,01/04/2008,21-Jan-08,04-Jan-08,04-Jan-08,ARV,Adult,"JSI R&T INSTITUTE, INC.","Lopinavir/Ritonavir 133.3/33.3mg [Kaletra], capsules, cool, 2 x 90 Caps",Lopinavir/Ritonavir,Kaletra,133.3/33.3mg,Capsule,180,400,18460,46.15,0.26,ABBVIE (Abbott) Logis. UK,No,Weight Captured Separately,Freight Included in Commodity Cost,29.54
8263,102-NG-T01,Pre-PQ Process,SCMS-16890,ASN-2267,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/29/08,19-Sep-08,20-Aug-08,20-Aug-08,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,N/A,Test kit,20,6520,176040,27,1.35,Chembio Diagnostics Sys. Inc.,Yes,2224,12768.47,281.66
8264,102-NG-T01,Pre-PQ Process,SCMS-16900,ASN-1410,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,1/29/08,12-Mar-08,10-Mar-08,10-Mar-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,N/A,Test kit - Ancillary,100,6199,61.99,0.01,0,Inverness Japan,Yes,Weight Captured Separately,Invoiced Separately,0.1
8271,128-BJ-T01,Pre-PQ Process,SCMS-17290,ASN-1355,Benin,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,02/06/2008,04-Mar-08,04-Mar-08,04-Mar-08,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,N/A,Test kit,25,232,4640,20,0.8,"Standard Diagnostics, Korea",Yes,70,1136.37,7.42
8315,106-HT-T01,Pre-PQ Process,SCMS-18270,ASN-1463,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/27/08,29-Mar-08,29-Mar-08,29-Mar-08,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,N/A,Test kit,100,30,10500,350,3.5,"Pacific Biotech, Thailand",Yes,72,2556.61,16.8
8316,104-CI-T01,Pre-PQ Process,SCMS-18330,ASN-3024,C??te d'Ivoire,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/27/08,18-Feb-09,18-Feb-09,18-Feb-09,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,N/A,Test kit,20,289,7803,27,1.35,Chembio Diagnostics Sys. Inc.,Yes,84,1550.95,15.29
8317,111-MZ-T01,Pre-PQ Process,SCMS-18340,ASN-1747,Mozambique,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,2/27/08,09-Jul-08,09-Jul-08,09-Jul-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,N/A,Test kit - Ancillary,100,3000,30,0.01,0,Inverness Japan,Yes,Weight Captured Separately,Invoiced Separately,0.05
8344,129-KG-T01,Pre-PQ Process,SCMS-19120,ASN-2356,Kyrgyzstan,PMO - US,Direct Drop,DDP,Air,Pre-PQ Process,3/18/08,19-Sep-08,19-Sep-08,19-Sep-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, DoubleCheck II Kit, 40 Tests","HIV 1/2, DoubleCheck II Kit",DoubleCheck,N/A,Test kit,40,500,39500,79,1.98,Not Applicable,Yes,Weight Captured Separately,Freight Included in Commodity Cost,63.2
8378,108-VN-T01,Pre-PQ Process,SCMS-20360,ASN-2043,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,3/31/08,17-Jul-08,17-Jul-08,17-Jul-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,10080,115718.4,11.48,0.38,Mylan (formerly Matrix) Nashik,Yes,772,4408.29,185.15
8407,102-NG-T01,Pre-PQ Process,SCMS-21580,ASN-1786,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,Date Not Captured,28-May-08,28-May-08,28-May-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100,1130,90388.7,79.99,0.8,Inverness Japan,Yes,258,3748.24,144.62
8437,102-BW-T01,Pre-PQ Process,SCMS-22700,ASN-1908,Botswana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/28/08,31-Jul-08,31-Jul-08,31-Jul-08,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100,100,7199,71.99,0.72,Inverness Japan,Yes,28,641.06,11.52
8438,102-BW-T01,Pre-PQ Process,SCMS-22700,ASN-1909,Botswana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/28/08,31-Jul-08,11-Jul-08,11-Jul-08,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,N/A,Test kit - Ancillary,100,100,1,0.01,0,Inverness Japan,Yes,Weight Captured Separately,Invoiced Separately,0
8440,102-BW-T01,Pre-PQ Process,SCMS-22740,ASN-2400,Botswana,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,4/28/08,18-Nov-08,18-Nov-08,18-Nov-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20,500,16000,32,1.6,"Trinity Biotech, Plc",Yes,166,1225.17,25.6
8459,108-VN-T01,Pre-PQ Process,SCMS-23300,ASN-2485,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/13/08,06-Oct-08,06-Oct-08,06-Oct-08,ARV,Adult,CIPLA LIMITED,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,9792,72460.8,7.4,0.12,"Cipla, Goa, India",Yes,836,5136.08,115.94
8460,108-VN-T01,Pre-PQ Process,SCMS-23340,ASN-2277,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/13/08,19-Sep-08,19-Sep-08,19-Sep-08,ARV,Adult,Aurobindo Pharma Limited,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,3840,12326.4,3.21,0.05,"Aurobindo Unit III, India",No,See ASN-2277 (ID#:5793),See ASN-2277 (ID#:5793),19.72
8461,108-VN-T01,Pre-PQ Process,SCMS-23440,ASN-2335,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/13/08,20-Sep-08,20-Sep-08,20-Sep-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,432,3240,7.5,0.12,Mylan (formerly Matrix) Nashik,No,See ASN-2335 (ID#:5796),See ASN-2335 (ID#:5796),5.18
8462,108-VN-T01,Pre-PQ Process,SCMS-23450,ASN-2336,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/14/08,19-Sep-08,19-Sep-08,19-Sep-08,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,14364,37346.4,2.6,0.04,Mylan (formerly Matrix) Nashik,No,See ASN-2336 (ID#:530),See ASN-2336 (ID#:530),59.75
8463,116-ZA-T01,Pre-PQ Process,SCMS-23500,ASN-2293,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,20-Aug-08,08-May-08,08-May-08,ARV,Adult,S. BUYS WHOLESALER,"Stavudine 40mg [Zerit], capsules, 60 Caps",Stavudine,Zerit,40mg,Capsule,60,100,517,5.17,0.09,"BMS Meymac, France",No,Weight Captured Separately,Freight Included in Commodity Cost,0.83
8464,116-ZA-T01,Pre-PQ Process,SCMS-23500,ASN-2293,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,20-Aug-08,08-May-08,08-May-08,ARV,Adult,S. BUYS WHOLESALER,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Didanosine EC,Videx EC,400mg,Delayed-release capsules - blister,30,80,1968,24.6,0.82,"BMS Meymac, France",No,Weight Captured Separately,Freight Included in Commodity Cost,3.15
8465,116-ZA-T01,Pre-PQ Process,SCMS-23500,ASN-2293,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,20-Aug-08,08-May-08,08-May-08,ARV,Pediatric,S. BUYS WHOLESALER,"Efavirenz 50mg [Stocrin/Sustiva], capsule, 30 Caps",Efavirenz,Stocrin/Sustiva,50mg,Capsule,30,240,717.6,2.99,0.1,"MSD Midrand, J'burg, SA",No,Weight Captured Separately,Freight Included in Commodity Cost,1.15
8470,125-HT-T01,Pre-PQ Process,SCMS-23580,ASN-1821,Haiti,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,5/13/08,06-Jun-08,06-Jun-08,06-Jun-08,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Capillus HIV Kit, 100 Tests","HIV 1/2, Capillus HIV Kit",Capillus,N/A,Test kit,100,4,556,139,1.39,"Trinity Biotech, Plc",Yes,3,1808.19,0.89
8475,106-HT-T01,Pre-PQ Process,SCMS-23790,ASN-2146,Haiti,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,5/20/08,20-Aug-08,20-Aug-08,20-Aug-08,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit",OraQuick,N/A,Test kit,100,54,18900,350,3.5,"Pacific Biotech, Thailand",Yes,Weight Captured Separately,Freight Included in Commodity Cost,30.24
8554,110-ZM-T01,Pre-PQ Process,SCMS-25710,ASN-2843,Zambia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,6/20/08,18-Nov-08,18-Nov-08,18-Nov-08,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,N/A,Test kit,25,500,10000,20,0.8,"Standard Diagnostics, Korea",Yes,157,1754.04,19.6
8590,116-ZA-T01,Pre-PQ Process,SCMS-26820,ASN-2488,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,10-Jul-08,08-Jul-08,08-Jul-08,ARV,Pediatric,S. BUYS WHOLESALER,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,10,354.6,35.46,0.12,ABBVIE (Abbott) Logis. UK,No,Weight Captured Separately,Freight Included in Commodity Cost,0.57
8603,108-VN-T01,Pre-PQ Process,SCMS-27300,ASN-2855,Vietnam,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,7/24/08,03-Dec-08,03-Dec-08,03-Dec-08,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,1080,88776,82.2,0.68,ABBVIE Ludwigshafen Germany,Yes,259,2985.93,174
8604,108-VN-T01,Pre-PQ Process,SCMS-27310,ASN-2809,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/24/08,24-Nov-08,24-Nov-08,24-Nov-08,ARV,Adult,Aurobindo Pharma Limited,"Abacavir 300mg, tablets, 60 Tabs",Abacavir,Generic,300mg,Tablet,60,380,8930,23.5,0.39,"Aurobindo Unit III, India",No,See ASN-2809 (ID#:1955),See ASN-2809 (ID#:1955),17.5
8605,108-VN-T01,Pre-PQ Process,SCMS-27320,ASN-2792,Vietnam,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,7/24/08,21-Nov-08,21-Nov-08,21-Nov-08,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,2200,25080,11.4,0.19,"Aurobindo Unit III, India",No,See ASN-2792 (ID#:5936),See ASN-2792 (ID#:5936),49.16
8616,106-HT-T01,Pre-PQ Process,SCMS-27880,ASN-2378,Haiti,PMO - US,Direct Drop,FCA,Air,Pre-PQ Process,08/05/2008,29-Sep-08,29-Sep-08,29-Sep-08,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",Lopinavir/Ritonavir,Generic,100/25mg,Tablet,60,20,205.6,10.28,0.17,ABBVIE Ludwigshafen Germany,Yes,19,658.68,0.33
8642,117-ET-T01,Pre-PQ Process,SCMS-28710,ASN-2575,Ethiopia,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/22/08,07-Oct-08,06-Oct-08,06-Oct-08,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",Colloidal Gold,N/A,Test kit,1,7002,161046,23,23,"KHB Test Kit Facility, Shanghai China",Yes,5057,44347.71,257.67
8645,116-ZA-T01,Pre-PQ Process,SCMS-28830,ASN-2503,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,25-Aug-08,14-Aug-08,14-Aug-08,ARV,Adult,S. BUYS WHOLESALER,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,1500,24300,16.2,0.54,"Cipla, Goa, India",No,Weight Captured Separately,Freight Included in Commodity Cost,38.88
8646,116-ZA-T01,Pre-PQ Process,SCMS-28830,ASN-2503,South Africa,PMO - US,Direct Drop,DDP,Truck,Pre-PQ Process,Date Not Captured,25-Aug-08,14-Aug-08,14-Aug-08,ARV,Pediatric,S. BUYS WHOLESALER,"Efavirenz 50mg [Stocrin/Sustiva], capsule, 30 Caps",Efavirenz,Stocrin/Sustiva,50mg,Capsule,30,200,572,2.86,0.1,"MSD Midrand, J'burg, SA",No,Weight Captured Separately,Freight Included in Commodity Cost,0.92
8648,133-NG-T01,Pre-PQ Process,SCMS-28870,ASN-2794,Nigeria,PMO - US,Direct Drop,EXW,Air,Pre-PQ Process,8/26/08,15-Jan-09,20-Nov-08,20-Nov-08,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,N/A,Test kit,20,10594,286038,27,1.35,Chembio Diagnostics Sys. Inc.,Yes,3039,24025.77,560.63
8692,131-NG-T01,Pre-PQ Process,SCMS-30500,ASN-2896,Nigeria,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,9/23/08,10-Mar-09,24-Nov-08,24-Nov-08,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Atripla,600/200/300mg,Tablet - FDC,30,2000,100800,50.4,1.68,"MSD, Haarlem, NL",Yes,169,924.4,197.57
8693,131-NG-T01,Pre-PQ Process,SCMS-30501,ASN-3706,Nigeria,PMO - US,Direct Drop,CIP,Air,Pre-PQ Process,9/23/08,10-Mar-09,10-Mar-09,10-Mar-09,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Atripla,600/200/300mg,Tablet - FDC,30,3991,201146.4,50.4,1.68,"MSD, Haarlem, NL",Yes,Weight Captured Separately,Freight Included in Commodity Cost,394.25
